questionType,logs
J'aimerai poser une question autour du coronavirus,"Pourquoi les personnes fraîchement élus montrent ils un exemple contradictoire (non port de masque, embrassades etc) à ce qui est préconisé en matière de distanciation,et mesures sanitaires obligatoires"
Mon compte france.tv,je voulais voir le film d'hier soir de France 2 HHhH je n'arrive pas à le voir en replay sur ma télé
Mon compte france.tv,Je veux m'inscrire !
Replay,je ne peux rien visionner meme pas la pub . des cercles tournent en boucle en recherche . et je n'ai aucun probleme avec arte replay
Comment contacter un animateur ?,j'ai demandé à quelle adresse envoyer un manuscrit à François Busnel F2
Replay,"Bonjour, je n'arrive plus à visionner les replays de France 2 depuis qquelques jours. Que faire?"
Comment contacter un animateur ?,"Bonjour, je souhaite partciper en tant qu'intervenant à une émission comment puis-je les contacter ."
Replay,Non l'incription pour voir les vidéos
Mon compte france.tv,"ça me dit erreur"""
Mon compte france.tv,Bonsoir. Impossible de créer mon
Mon compte france.tv,je reçois le mail mais impossible de me connecter une fois le mot de passe changé
Comment proposer un sujet ?,"Bonjour, j'aimerai porposer un sujet pour un JT"
Mon compte france.tv,Mon mot de passe n'est pas reconnu
Mon compte france.tv,Je n'arrive plus à me connecter sous mon compte
J'aimerai poser une question autour du coronavirus,"Avec ce vaccin nouvel generation, si nous nous faisons vacciner, allons nous être, nous humains,génétiquement modifiés ?"
J'aimerai poser une question autour du coronavirus,"Si j'ai bien compris, on confine avant les congés et on déconfine pour les congés, donc on est repartis pour d'autres vagues puisque vacances de noël, de février, pâques ... et on nous parle de tirer des leçons de cet été ! Karine Rambouill"
Replay,Pourquoi l'épisode 45 de Opj diffusé vendredi dernier sur France 3 n'est il pas disponible en replay ?
J'aimerai poser une question autour du coronavirus,Bonjour j'aimerais savoir si le gouvernement n'a pas proposé des aides pour les étudiants étrangers en France ??? Merci
Comment contacter un animateur ?,Comment pouvons nous contacter un journaliste pour dénoncer l'isolement d'un enfant à l'école à cause des ses allergies alimentaires ?
Les directs,Voir France 3
Comment contacter le service client ?,quand reviennent les petits meurtres
Comment contacter le service client ?,Quelle et la largeur d'une pièce de 1euro
J'aimerai poser une question autour du coronavirus,bonjour je suis ehs electro sensible aux ondes radios que puije faire pour me proteger
Replay,"Comment puis-je avoir accès à la vidéo réalisé par Jean-Françis GAUDRY, notre corps ce réseay social diffusé le 29/11/2020 sur Arté"
J'aimerai poser une question autour du coronavirus,infirmier
S'abonner ou se désabonner à nos newsletters,je voudrais me desabonne
Mon compte france.tv,j’avais un mot de passe que j’ai oublié Pour regarder en Replay France TV ...je ne peux le réinitialiser
J'habite à l'étranger,On me dit que je ne peux pas visionner les programmes francais depuis l'Allemagne. J'ai une carte pour France télévision et un récepteur
Mon compte france.tv,Je narrive pas à me connecter
J'aimerai poser une question autour du coronavirus,Pourquoi aucune info autre que le covid ne sont donnés sur votre antenne tout vos reportages tourne en boucle sur le covid important mais ne se passent il rien d'autre en france
J'aimerai poser une question autour du coronavirus,Je souhaite poser une question au sujet du confinement : je travaille dans un autre département que celui où vit ma famille. Je rentre tous les wé. Cela sera-t-il possible durant le confinement ?
Mon compte france.tv,impossible de se connecter sur safari
Quel est le programme TV ?,Programme tv rugby
Replay,"Bonjour, je souhaiterais visionner une émission du 27/05 mais elle n'est apparement plus disponible, comment puis-je faire ?"
Replay,Toc toc il y a quelqu'un?? Je voudrais parler du replay de FR TV...
S'abonner ou se désabonner à nos newsletters,je ne veux rien modifier je veux me desinscrir
Mon compte france.tv,bonjour j arrivé pas à refaire un nouveau mon de passe
S'abonner ou se désabonner à nos newsletters,Depuis des jours je souhaite me DESABONNER.
Comment contacter le service client ?,bonjour nous avons gagné une tele au zamour comment faire
Replay,tjs impossoble de taper une date de naissance correcte . c'est pénible ..
Replay,Bonjour j’ai vu une annonce comme quoi vous recherchiez des jeunes comédiens pour jouer dans la série fais pas ci fais pas ça ?
Comment proposer un sujet ?,Comment faire pour expliquer des problèmes écologique et financière sur notre petit village qui se situe au porte du Vercors pour un projet de carrière de roches avec des tirs de mines a 40m des habitations et détruire le mont vanille riche
Comment contacter un animateur ?,"Bonjour, je suis entrain de regarder l émission le mag de la santé"". Où puis je trouver la liste des livres policiers proposer ? Merci par cordialement Sylvie MENEGATTI sylviemenegatti@hotmail.com """
Mon compte france.tv,changer mot passe
Comment contacter le service client ?,comment contacter un assistant par téléphone
Mon compte france.tv,"Bonjour, je n'arrive plus à me connecter au site...."
Quel est le programme TV ?,Très bien merci . Je viens de regarder l emission se soir. Il y a t'il une autre date de prevu ?
Mon compte france.tv,Je vous voir les avant première sur France tv
J'aimerai poser une question autour du coronavirus,Est ce que les cours privé de ma gym sont autorisés ?
Comment proposer un sujet ?,Je regarde et apprécie votre emission mais s.il vous plais veuillez écrire le nom des intervenants autrement qu. en bleu sur fond noir..le noir sur blanc se fait couramment et se lit bien et laissez le nom affiché plus de 4 secondes on
Replay,"Bonjour , on ne peut pas visionner les vidéo de nus et culottés pourquoi?"
Tour de France 2021,Pourquoi des équipes roulent en tête de peloton à la place des uae?
Comment contacter le service client ?,réactio aus propos tenus dans C à Vous par l'auteur du livre sur l'Immigration. Ce haut fonctionnaire devrait aller un peu dans la rue avant de mettre en concurence SDF et migrants. C'est indigne et ressemble à un appel à la haine. voulu ?
Replay,Je n'arrive pas à avoir mes replays concernant France TV
Mon compte france.tv,"quand je veux mettre ma date de naissance l'année ne se marque pas correctement, donc je ne peux pas accéder à mon compte"
Mon compte france.tv,Je ne me souviens plus de mon mot depasse
Replay,Pourquoi la Suisse coffre-fort d'Hitler est elle indisponible ?
Replay,"bonjour, erreur 4103 pour lire un replay, avez-vous une idée.merci"
J'aimerai poser une question autour du coronavirus,J'ai réservé un séjour en thalasso mais covid oblige ce séjour est annulé on me propose un remboursement 18 mois après l'ouverture du site es-normal ???? Merci
Mon compte france.tv,Je souhaite supprimer mon compte france télévision
Comment contacter le service client ?,quelle est l' adresse ou on peut vous ecrire
Comment contacter le service client ?,Comment contacter vos services ?
Replay,il s'agit de France TV Culturebox
Comment proposer un sujet ?,"Bonjour, Je me permet de vous solliciter car j'ai une remarque à faire sur une emission, et le taille du formulaire prévu à cet effet est insuffisante. Puis je vous contacter par un autre moyen ? Cordialement"
Replay,nul comme le replay
Les directs,voir en directe pour toutes les chaines
Replay,Bonsoir dans les séries que je veux regarder il est indiqué qu'elle sont en intégralité
Replay,comment faire pour lire une vidéo en replay
Mon compte france.tv,Mon mot de passé correspont a la demande de chiffre et de majuscules
Comment proposer un sujet ?,"Je ne regarderai plus votre journal , Karine Baste - Regis est une très mauvaise journaliste!!!"
J'aimerai poser une question autour du coronavirus,moi aussi
Quel est le programme TV ?,comment recevoir tous les programmes sur ma télé personnelle ? merci
J'habite à l'étranger,"Comment se fait-il que, habitant Bruxelles, Région belge à part entière , ni Flandre ni Wallonie, je sois détecté comme résidant aux Pays-Bas ???"
Replay,ME PERMETTRE DE VOIR ET D ENTENDRE DES VIDEOS EN REPLAY
J'habite à l'étranger,Puis-je puis-je accéder au contenu des Etats-Unis?
Comment proposer un sujet ?,"La société de production pour laquelle je travailler développe un projet en partie financé par France 3 Via Stella, et je voudrais savoir comment faire diffuser ce projet sur la chaîne nationale de Frace 3."
Replay,plus de replay sur ftvdepuis une 4 jours
Replay,date diffusion Ninjago saison 12
J'aimerai poser une question autour du coronavirus,"Bonjour je dois me rendre au Canada chez mes enfants, comment faire en sachant que j'j'ai déjà mon billet d'avion pour le 04 12 2020. Merci de votre réponse clt"
Replay,les documentaires ne souvrent pas?
Comment contacter le service client ?,je veux parler a un humain
Mon compte france.tv,Date de naissance pour s'inscrire dite non validé alors qu'elle est au bon format ?
J'habite à l'étranger,J'habite la Suisse et j'aimerais revoir en REPLAY le docu notre corps
Comment proposer un sujet ?,Signaler une
Comment contacter le service client ?,c'est déjà fait 4 demande de changement et toujours la même réponse une erreur est interve
Comment contacter le service client ?,je voudrais une vidéo d'une ancienne émission
Mon compte france.tv,je souhaite revoir la diffusion de ce soir et je n'ai pas de compte
Replay,comment acceder au replay de la serie LA FORET épisodes 4 5 et 6
Replay,Quand pourrais je voir cette vidéo
Replay,Comment voir les replay france tv sur mon ecran tv?
J'aimerai poser une question autour du coronavirus,"Nous avons malheureusement 30000 morts en France du Covid-19. J'ai appris très récemment sur votre chaîne que chaque année en France, il y a 50000 morts à cause de la pollution. Que fait le gouvernement pour éradiquer ce fléau????? Merci"
J'aimerai poser une question autour du coronavirus,Question sur le Covid
Replay,"Bonjour, le replay de la saison 1 de coeur ocean ne fonctionne plus, il indique une erreur 4300, c'est normal ?"
Mon compte france.tv,"je n'arrive plus à me connecter, alors qu'il y a très longtemps que je suis les programmes ! Je ne comprends pas !"
Mon compte france.tv,impossible de m'inscrire pourquoi ?
Comment contacter le service client ?,"quand aura lieu la suite de big five , conte de noel présente le 25/12/20 sur fr2?"
Mon compte france.tv,Je ne parviens pas à me connecter la page ne fonctionne pas depuis hier
Comment contacter le service client ?,peut-on avoir les coordonnées de l'artiste qui a réalisé la tête d'une jeune femme en bronze dans l'émission La maison France 5 - La vallée de Chevreuse ?
Replay,"replay : impossibl de regarder les films ou les séries france télévsion en replay. Cela dure depuis trop longtemps. Franchement, c'est exagéré."
J'aimerai poser une question autour du coronavirus,CNED
Replay,Comment voir une emission qu'on a raté?
Les directs,"Je rencontre un problème avec le direct de France 2 , il m'affiche une erreur est survenu mais les autres chaînes fonctionnent"
Comment proposer un sujet ?,Ce n'est pas une demande mais une critique que je veux énoncer!
Mon compte france.tv,bonsoir impossible de me connecter sur les programmes de vos chaines et cela depuis quelques temps c est desesperant
Mon compte france.tv,"Bonjour , J'ai bien reçu votre mail de confirmation de mon inscription, mais le mail est arrivé dans les spam , j'ai donc voulu le transferer surma boite de reception mais il a disparu . Serait il possible de me le renvoyer ? Merci"
Comment proposer un sujet ?,Comment envoyer une question à une émission ?
Comment proposer un sujet ?,Comment féliciter Caroline Roux pour son émission?
S'abonner ou se désabonner à nos newsletters,"Je suis abonné, je les reçois, masi de ne peux plus ouvrir lr lien"
S'abonner ou se désabonner à nos newsletters,Je veux me désabonner à newsletter
Replay,je cherche en vain les videos diffusées le 24 juin sur Fr3 Claude Pontiet le Chant du monde. merci.
Replay,les 3 derniers épisodes de la folle aventure des durell ne sont pas disponible en replay. y a t'il une raison ?
